pre_tax_amount,tax,post_tax_amount,amount_tendered
2.99,0.06,3.05,20
3.59,0.11,3.7,5
46.48,0.32,6.8,10
8,0,8,20
41.57,0,41.57,42
8,0,8,20
4.43,0.31,4.74,20
20,0,20,20
2.37,0.12,2.49,3
1.29,0.12,1.41,10
8.61,0.34,8.95,20
1.19,0.04,1.23,10
4.77,0.31,5.08,6
4.13,0.18,4.31,5
55.01,0,55,55
15.01,0,15.01,15.01
0.99,0.07,1.06,5
2.68,0.08,2.76,5
1,0,1,1
10.29,0.44,10.73,20
2.64,0.24,2.88,5
20,0,20,20
2.68,0.08,2.76,3
7.84,0.07,4.91,4.91
49.78,0,49.78,49.78
1.19,0.03,1.22,1.22
42.96,0.7,43.66,43.66
1.19,0.11,1.3,2
11.99,0.5,12.49,20
20,0,20,20
35,0,35,35
2.57,0.18,2.75,2.75
5.29,0.37,5.66,6
17,0,17,17
5,0.13,5.13,6
5.72,0.24,5.96,5.96
4.76,0.12,4.88,20
11.56,0.5,12.06,12.06
30,0,30,30
20,0,20,20
50,0,50,50
3.04,0.15,3.19,5
1.09,0.1,1.19,1.25
5.48,0.27,5.75,20
14.55,0,14.55,14.55
27.51,0,27.51,27.51
2.59,0.13,2.72,2.72
1.49,0.1,1.59,2
45.05,0,45.05,45.05
20,0,20,20
3.14,0.22,3.36,5
2.18,0.15,2.33,3
10.76,0.97,11.73,20
3.77,0.33,4.1,10
160,0,160,160
2.78,0.25,3.03,4
1.29,0.03,1.32,1.32
17.36,0,17.36,17.36
2.94,0.18,3.12,4
22.56,0.23,22.79,22.79
143,0,143,143
4.96,0.35,5.31,20
40.05,0,40.05,40.05
2,0,2,200
10.1,0,10.1,10.1
0.75,0.02,0.77,1
0.59,0.04,0.63,0.63
1.09,0.1,1.19,2
8,0,8,8
5.08,0.36,5.44,20
1.19,0.07,1.26,2
34,0,34,34
1.98,0.1,2.08,2.08
20.02,0,20.02,20.02
9.53,0.86,10.39,15
11.56,0.58,12.14,15.2
10,0,10,20
42.89,0,42.89,42.89
2.14,0.11,2.25,5
2.58,0.18,2.76,10
39.02,0,39.02,39.02
2.68,0.11,2.79,5
3.76,0.17,3.93,4
20.05,0,20.05,20.05
1.68,0.12,1.8,2
5.94,0.42,6.36,7
7,0,7,7
11.19,0.03,11.22,20
2.18,0.11,2.29,5
8.22,0.58,8.8,9
1.19,0.06,1.25,1.25
5,0.35,5.35,6
0.99,0.02,1.01,1.01
4.18,0.13,4.31,5.31
2.18,0.13,2.31,5.01
5.36,0.16,5.52,10.52
36.49,0.87,37.36,37.36
30.01,0,30.01,30.01
10.76,0.75,11.51,12
30.02,0,30.02,30.02
2.19,0.13,2.32,3
6.98,0.05,7.03,20
2.19,0.05,2.24,2.24
8.32,0.11,8.43,10
20,0,20,20
8,0.15,8.15,100
51.91,1.1,53.01,53.01
20.99,0.02,21.01,40.01
1.38,0.1,1.48,1.48
4.04,0.05,4.09,10
13.13,0.15,13.28,20
21.29,0,21.29,21.29
15,0,15,15
35.5,0,35.5,35.5
1.19,0.08,1.27,5
7,0,7,7
40,0,40,40
10,0,10,10
17,0,17,17
6.66,0.35,7.01,8
1.93,0.1,2.03,2.03
7.15,0.5,7.65,10
11.17,0.78,11.95,15
1.19,0.08,1.27,1.27
3.04,0.15,3.19,20
10,0,10,10
2.09,0.15,2.24,2.24
10,0,10,10
4.23,0.3,4.53,5
25,0,25,25
7.74,0.39,8.13,9
42,0,42,42
26.26,0,10,10
5.38,0.27,5.65,5.65
1,0,1,1
3.58,0.19,3.77,4
1.49,0.07,1.56,10
0.3,0.01,0.31,0.31
35,0,35,35
0.99,0.09,1.08,1.08
3.98,0.24,2.13,2.13
20,0,20,20
23.05,0,23.05,24
4.73,0.24,4.97,10
34.29,0,34.29,34.29
30,0,30,40
20,0,20,20
6.5,0,6.5,6.5
23.99,1.2,25.19,25.19
1.78,0.09,1.87,2
2.08,0.15,2.23,5
4,0,4,10
2.94,0.15,3.09,20
2.29,0.19,2.48,2.48
7.04,0,7,10
0.99,0.07,1.06,5
4.18,0.18,4.36,5
38.69,0.15,38.84,38.84
1.39,0.13,1.52,5
20.02,0,20.02,20.02
20.01,0,20.01,20.01
3.24,0.23,3.47,10
7,0,7,10
21.57,0.59,22.16,30
45.57,0,45.57,45.57
12,0,12,12
19.58,0.98,20.56,21
15,0,15,15
7.01,0,7.01,10
1.44,0.07,1.51,2
22.61,0,22.61,23
1.58,0.11,1.69,5
17.12,0.36,6,6
2.49,0.06,2.55,3
45,0,45,45
17.03,0,17.03,17.03
1.59,0.14,1.73,2
20,0,20,20
2.99,0.21,3.2,10
5.27,0.32,5.59,10
6.99,0.35,7.34,10
1.19,0.06,1.25,2
1,0,1,1
48.1,0,48.1,48.1
4.08,0,4.08,4.08
8.68,0.61,9.29,20
6.78,0.47,7.25,20
2.9,0.27,3.17,3.17
23.88,0.32,24.2,30
28.59,0,28.59,28.59
6,0,6,6
1,0,1,1
9.74,0.3,10.04,20
3.73,0.23,3.96,5
25,0,25,25
7,0,7,7
3.39,0.17,3.56,3.56
6.3,0,6.3,7
1.19,0.06,1.25,2
8.38,0.59,8.97,20
7.37,0.46,7.83,10
0.79,0.04,0.83,1
46.98,3.29,50.27,50.27
4.96,0.45,5.41,6
34.27,1.71,35.98,40
20,0,20,20
15.88,0,15.88,15.88
0.69,0.06,0.75,1
30,0,30,30
1.69,0.09,1.78,2
1.59,0.08,1.67,1.67
5.69,0.47,6.16,20
20,0,20,20
3,0,3,3
9.94,0,9.94,20
0.99,0.06,1.05,2
3.37,0.2,3.57,4
1.29,0.09,1.38,2
4.57,0.23,4.8,5
3.38,0.24,3.62,5
12.5,0,12.5,12.5
14.01,0,14.01,20.01
22.29,0.23,22.52,100
37.4,0,40,40
1.15,0.06,1.21,1.25
3.76,0.11,3.87,5
2.78,0.25,3.03,5.1
19,0,19,19
30.01,0,30.01,30.01
10,0,10,10
3.37,0.17,3.54,4
28.49,2.56,31.05,31.05
1.69,0.12,1.81,2
1.19,0.08,1.27,1.27
12,0,12,12
5,0.13,5.13,10.15
0.99,0,0.99,1
2.99,0.21,3.2,3.2
10.9,0.02,10.92,11
34.19,0,34.19,34.19
10,0,10,20
26,0,26,30
10.77,0,10.77,10.77
3.18,0.1,3.28,5.28
3.26,0.1,3.36,20
69,0,69,69
13.15,0.66,13.81,15
2.04,0.1,2.14,5
4.19,0.21,4.4,5
27.73,0,27.73,27.73
4.28,0.3,4.58,5
37,0,37,37
18.25,0,18.25,18.25
5.96,0.37,6.33,20
4.43,0.22,4.65,4.65
2,0,2,5
1.29,0.04,1.33,2
5.68,0.28,5.96,10
6.74,0.2,6.94,20
8,0,8,10
18,0,18,18
27.15,0.02,27.17,27.17
4.41,0.1,4.51,10
10,0,10,20
1.29,0.09,1.38,2
8.49,0.42,8.91,10
7,0,7,7
1,0,1,1
9.92,0.69,10.61,20.61
60.01,0,60.01,60.01
16.78,0.84,17.62,18
39.14,0,39.14,39.14
2.97,0.27,3.24,3.24
1.49,0.14,1.63,2
1.09,0.07,0.5,0.5
11.68,0.04,11.72,12
6.58,0.46,7.04,7.25
5.99,0.54,6.53,6.53
7.5,0,7.5,7.5
6.06,0.3,6.36,6.36
25.77,0.32,26.09,50
6,0,6,20
10.99,0.09,11.08,12
32.44,0,32.44,32.44
41.54,0,41.54,41.54
2.85,0.14,2.99,2.99
5.18,0.36,5.54,20
10,0,10,10
21,0,21,21
4.19,0.39,4.58,10
63.61,0,63.61,63.61
0.99,0.05,1.04,1.04
31.5,0,31.5,31.5
0.99,0.06,1.05,1.05
5.99,0.1,6.09,7
2.79,0.17,2.96,5
1.29,0.09,1.38,50
1.78,0.1,1.88,2
9.05,0,9.05,9.05
1.69,0.05,1.74,2
39.43,0,39.43,39.43
2.39,0.11,2.5,3
3,0,3,3
16.43,1.15,17.58,20
1,0,1,1
20.99,1.05,22.04,22.04
0.5,0.03,0.53,1
11,0,11,20
3.64,0.18,3.82,5
26,0,28,28
10,0,10,10
5.68,0.33,6.01,6.01
1.49,0.03,1.52,1.55
0.99,0.07,1.06,2
32.83,0,32.83,32.83
2.89,0.2,3.09,5
19,0,19,19
20.31,0,20.31,20.31
2.28,0.16,2.44,5
44.01,0,44.01,44.01
0.79,0.04,0.83,1
1,0,1,1
1.98,0.1,2.08,2.08
1.29,0.11,1.4,20
15,0,15,20
26,0,26,26
9.52,0.23,9.75,10
0.59,0.04,0.63,1
0,0,10,10
10.99,0.15,1,1
0.79,0.07,0.86,1
12.39,0.07,12.46,50
1.38,0.1,1.48,10
18.19,0.03,18.22,20
2.28,0.16,2.44,5
1.29,0.04,1.33,20
5.27,0.37,5.64,20
1.39,0.07,1.46,2
3.38,0.11,3.49,4
20,0,20,20
1.98,0.05,2.03,2.03
1,0.07,1.07,1.07
6.56,0.36,6.92,6.92
5.76,0.12,5.88,6
37,0,37,37
3.77,0.11,3.88,10
5,0,5,20
9.95,0.86,10.81,20
2.18,0.07,2.25,2.25
20,0,20,20
2.88,0.09,2.97,3
1.59,0.08,1.67,20
2.68,0.14,2.82,20
4.19,0.06,4.25,5
1.29,0.12,1.41,5
29.37,1.92,31.29,40
22.29,0.09,22.38,23
0.25,0.02,0.27,0.27
49.5,0,49.5,49.5
42.98,3.01,15,15
1.19,0.03,1.22,1.3
25,0,25,25
1.29,0.09,1.38,2
27.5,0,27.5,27.5
2.34,0.12,2.46,3
1.29,0.03,1.32,2
4,0,4,4
3.19,0.16,3.35,4
3.99,0.33,4.32,4.32
13.15,0,13.15,13.15
1.89,0.17,2.06,10
5,0,5,5
4.65,0.14,4.79,10
3.27,0.08,3.35,10
16.1,0,16.1,16.1
5.19,0.36,5.55,5.55
4.98,0.3,5.28,10
31,0,31,31
36.37,0,36.37,36.37
1.88,0.09,1.97,5
41.2,0,41.2,41.2
0.99,0.07,1.06,5
21.03,0,21.03,21.03
2,0,2,2
28.08,0,28.08,28.08
10.95,0.99,11.94,20
30.01,0,30.01,30.01
3.79,0.23,4.02,4.25
3.44,0.17,3.61,4.01
0.99,0.09,1.08,1.08
50,0,50,50
0.89,0.06,0.95,1
16.04,0,16.04,16.04
20,0,20,20
13.49,0.1,13.59,15
26.19,0.08,26.27,26.27
20,0,20,20
3.36,0.07,3.43,4
1.29,0.03,1.32,1.32
6.5,0.37,6.87,10
10,0,10,10
8.04,0.15,8.19,20
1.29,0.04,1.33,5
1.19,0.07,1.26,2
20,0,20,20
5.25,0.26,5.51,6
30.49,0,30.49,30.49
2.08,0.15,2.23,2.23
50,0,50,50
1,0,1,1
1.99,0.06,2.05,2.25
20,0,20,20
1.59,0.11,1.7,5
0.98,0.03,1.01,10.01
1.39,0.1,1.49,2
6.96,0,6.96,6.96
38.8,0.17,38.97,38.97
19,0,19,19
3.28,0.23,3.51,4
24.49,1.22,25.71,30
26.25,0,26.25,26.25
5.87,0.18,0.55,0.55
1.38,0.1,1.48,20
13.17,0.79,13.96,20
4.24,0.25,4.49,4.49
4.17,0.29,4.46,10
2.09,0.08,2.17,2.25
1.19,0.04,1.23,1.23
10,0,10,20
1.68,0.03,1.71,5
35.28,0,35.28,35.28
23.5,0,23.5,23.5
29.5,0,29.5,29.5
3.67,0.17,3.84,20
4.17,0.13,4.3,5
5,0,5,5
9.65,0.87,10.52,20
38.7,0.66,39.36,100
2.67,0.08,2.75,3
29.99,2.1,32.09,32.09
32.75,0,32.75,32.75
7.67,0.54,8.21,20
0.89,0,0.89,1
3.77,0.26,4.03,5
27.97,0,27.97,40
1.09,0.08,1.17,1.17
1.49,0.04,1.53,2
50,0,50,50
5.83,0.31,6.14,6.14
43.03,0,43.03,43.03
1.29,0.04,1.33,1.5
19.72,0,19.72,19.72
7.27,0.51,7.78,8
10.51,0,10.51,10.51
11,0.03,11.03,15
0.59,0.04,0.63,1
0.99,0.02,1.01,2
42.28,2.96,45.24,50
30.87,2.78,33.65,33.65
30.4,0,30.4,30.4
17.01,0,17.01,17.01
3.04,0.15,3.19,5.25
1,0.07,1.07,2
50,0,50,50
62.5,0,62.5,70
23.87,0,23.87,24
0.99,0.09,1.08,2
4.47,0,4.47,4.47
1.19,0.03,1.22,2
16.56,1.16,17.72,20
4.54,0.27,4.81,20
1.29,0.04,1.33,10
20.99,0,20.99,20.99
20,0,20,20
41.69,0,41.69,41.69
23.78,0,23.78,23.78
7.08,0.19,7.27,7.27
14,0,14,14
7.49,0.37,7.86,10
47.88,0.17,48.05,48.05
2,0.18,2.18,3
65,0,65,65
4.76,0.24,5,5
5,0.13,5.13,6
10.28,0.9,11.18,20
8.43,0.42,8.85,10
20,0,20,20
11.59,0,11.59,21.59
20,0,20,20
25,0,25,25
1.29,0.09,1.38,1.5
0.99,0.06,1.05,2
50,0,50,50
11,0,11,21
2.68,0.19,2.87,2.87
5,0.13,5.13,6
30,0,30,30
4.88,0.29,5.17,5.17
1.49,0.04,1.53,1.53
2.69,0.19,2.88,5
2.59,0,2.59,10
2,0,2,2
0.99,0.07,1.06,1.06
8.47,0.59,9.06,100
2.77,0.04,2.81,3
8.67,0.43,9.1,20.1
1.98,0.09,2.07,3
19.76,0,19.76,19.76
15,0.75,15.75,15.75
2,0,2,2
6.78,0.31,7.09,10
3.69,0.12,3.81,20
43.01,0,43.01,100
15,0,15,20
29.7,0,29.7,29.7
0.99,0.09,1.08,1.08
2.08,0.1,2.18,3
22.77,0,22.77,22.77
20.47,1.37,21.84,22
16.79,0.61,17.4,20
2.18,0.11,2.29,5
10.01,0,10.01,20.01
6,0,6,10
10,0,10,20
22.04,0.1,22.14,25
4.46,0.13,0.09,0.1
28.18,0.25,28.43,30
1.68,0.05,1.73,5
50,0,50,50
5.14,0.26,5.4,5.4
0.79,0.07,0.86,1
1.19,0.08,1.27,1.27
4.26,0.29,4.55,5
5.82,0.29,6.11,10
3.39,0.17,3.56,3.61
23.25,0,23.25,23.25
20.17,0,20.17,20.17
1.99,0.14,2.13,2.13
2.09,0.1,2.19,3
14,0,14,20
1.19,0.08,1.27,2
21.51,0,21.51,40
0.99,0.07,1.06,20
10,0,10,20
1.29,0.03,1.32,5.32
1.29,0.04,1.33,1.33
10.3,0.85,0.55,0.55
1,0,1,1
3.14,0.16,3.3,5
1.98,0.04,2.02,10
5.07,0.46,5.53,20
1.19,0.08,1.27,2
2.58,0.08,2.66,10
2.98,0.11,3.09,3.25
36.88,0,36.88,36.88
7.69,0.19,7.88,20
20,0,20,20
0.99,0.07,1.06,2
26.08,0.07,26.15,26.15
0.3,0,0.3,1
27.44,0,27.44,27.44
3.64,0.25,3.89,5
14.21,0.1,14.31,14.31
21.3,0.09,21.39,25.39
2.58,0.18,2.76,5
3.96,0.2,4.16,4.16
35,0,35,35
20,0,20,20
26.78,0.17,26.95,26.95
10,0,10,10
0.79,0.07,0.86,1
28.85,0,28.85,28.85
7,0,7,7
7.01,0,7.01,7.01
25.69,0,25.69,26
10,0,10,10
3.37,0.06,3.43,5
49.46,0.26,49.72,49.72
10,0,10,10
17.97,0.56,18.53,20
36,0,36,36
30.01,0,30.01,30.01
3,0.06,3.06,10.25
0.99,0.02,1.01,2
6.48,0.39,6.87,7
13.08,0.22,13.3,13.3
1.93,0.1,2.03,2.03
7.44,0.17,7.61,8
5,0.41,5.41,6
61,0,61,61
2.85,0.14,2.99,3
6.58,0.2,6.78,10
47.03,0.25,47.28,47.28
1.29,0.06,1.35,1.35
24.42,0,24.42,24.42
2.98,0.14,3.12,5
2,0,2,2
30,0,30,30
2.89,0.2,3.09,3.09
1.19,0.08,1.27,2
2.58,0.18,2.76,5
11.68,0.04,11.72,15
14.05,0.09,14.14,14.14
49.01,0,49.01,49.01
25,0,25,25
30.11,0,30.11,31
10.02,0,10.02,10.02
1.19,0.11,1.3,1.3
4.36,0.21,4.57,4.57
2.69,0.19,2.88,3
5.41,0.29,5.7,6
7.75,0,7.75,7.75
1.38,0.04,1.42,2
1.88,0.09,1.97,20
9.98,0.5,10.48,50.5
6.48,0.45,6.93,20
2.58,0.13,2.71,3.01
37,0,37,37
31,0,31,31
20,0,20,50
10,0,10,10
33.01,0,40,40
0.15,0,0.15,0.15
1.99,0.14,2.13,2.13
0.69,0.02,0.71,1
0.25,0.01,0.26,0.26
0.25,0.02,0.27,0.27
10,0,10,10
8.75,0.23,8.98,10
30.26,0.72,30.98,40
50,0,50,50
20,0,20,20
1.59,0.03,1.62,20
12.18,0.11,12.29,22.29
10,0,10,10
5,0,5,5
34.84,0,34.84,34.84
3.98,0.2,4.18,5
10,0,10,10
0.99,0.07,1.06,1.06
38.77,0.08,38.85,40
4.19,0.13,4.32,5
4.97,0.35,5.32,20
25,0,25,25
13.51,0,13.51,13.51
25.98,1.82,27.8,27.8
5,0,5,5
30.01,0,30.01,40.01
30.87,0,30.87,30.87
3,0,3,3
33.3,0,33.3,40.3
1.78,0.08,1.86,2
5,0,5,5
0.99,0.07,1.06,1.06
16.51,0,16.51,50.51
2.39,0.12,2.51,2.51
1.29,0.04,1.33,5
25,0,25,25
8.14,0.72,8.86,20
20.99,0.02,21.01,21.01
26.01,0,26.01,26.01
3.28,0.07,3.35,4
20.99,1.47,22.46,25
50,0,50,50
0.69,0.03,0.72,0.75
5,0,5,5
14.99,0.9,15.89,15.89
7.35,0.32,7.67,20
2.9,0.27,3.17,20
10,0,10,10
31,0,31,31
6.69,0.47,7.16,80
1.09,0.07,1.16,2
1.79,0,1.79,2
14,0,20,20
8.14,0,8.14,8.14
10.97,0.25,11.22,20.22
5.36,0.38,5.74,6
2.23,0.04,2.27,3
41.72,0.08,41.8,41.8
20,0,20,50
2.14,0.09,2.23,3
5.26,0.16,5.42,10
3.27,0.17,3.44,5
24,0,24,24
0.99,0.07,1.06,1.06
0.99,0,0.99,20
5.04,0,5.04,5.04
13.25,0,13.25,13.25
42.5,0,42.5,43
22.25,0,22.25,22.25
2.19,0.05,2.24,3
4.59,0,4.59,4.59
7.96,0.24,8.2,8.2
9.38,0.84,10.22,10.27
43.65,0,43.65,43.65
2.57,0.1,2.67,3
8.68,0.33,9.01,20
1.38,0.11,1.49,2
1.49,0.07,1.56,2
5.99,0.42,6.41,20
20,0,20,20
1.49,0.03,0.5,0.5
10.01,0,10.01,10.01
30,0,30,100
149.99,9,158.99,158.99
23.22,1.14,24.36,30
5,0.15,5.15,10
0.69,0.05,0.74,1
7.64,0.26,7.9,10
28.11,0,28.11,28.11
8,0,8,8
8.57,0.35,8.92,10
21,0,21,21
2.38,0.17,2.55,20
3.27,0.23,3.5,3.5
5.05,0.07,5.12,5.15
40.28,0,40.28,40.28
42.01,1.15,43.16,100
5.81,0.29,6.1,10
4,0,4,4
3.96,0.16,4.12,10
4.78,0.33,5.11,20
19.41,0,19.41,19.41
55.76,0.79,56.55,100
21.49,1.5,3,3
20.06,0,25,40
11,0,11,21
5.08,0.25,5.33,5.33
0.25,0.02,0.27,0.27
38.5,0,20,20
2.89,0.2,3.09,4
20,0,20,20
20,0,20,20
2.48,0.07,2.55,2.55
1.29,0.09,1.38,5
45,0,45,45
9.63,0.87,0.5,20
4.33,0.22,4.55,20
4.07,0.21,4.28,5
2.98,0.06,3.04,10.04
26.76,0,26.76,30
42.1,0,42.1,42.1
10,0,10,20
2.94,0.21,3.15,5
21.04,0,21.04,21.04
19.81,0,19.81,20
40,0,40,40
36.4,0,36.4,36.4
33.28,0,33.28,33.28
0,0,10,10
1.99,0.12,2.11,2.11
13.5,0,13.5,13.5
10,0,10,10
0.99,0.07,1.06,1.06
19.98,0.02,20,20
10.08,0,10.08,10.1
6,0,6,20
33.01,0,33.01,40.01
12.34,0.12,12.46,20
4.39,0.19,4.58,5
60,0,60,60
2.48,0.17,2.65,20
24.67,1.73,26.4,26.4
0.99,0.02,1.01,1.01
1.59,0.03,1.62,5
1.69,0.05,1.74,10
6.36,0.34,6.7,20
0.99,0.02,1.01,1.01
7.27,0.46,7.73,20
2.98,0.09,3.07,3.1
1.54,0,1.54,1.54
3.04,0.15,3.19,4
1.98,0.06,2.04,5.05
2.89,0.2,3.09,4
28,0,28,28
2.97,0.21,3.18,4
1,0,1,1
20.3,0,20.3,20.3
2,0,2,2
36,0,36,36
14.41,0.43,14.84,20
80.5,0,80.5,80.5
1.39,0.03,1.42,2
24,0,24,24
5.56,0.3,5.86,5.86
25.01,0,25.01,25.01
5.69,0.4,6.09,20.1
2.85,0.2,3.05,4
32.7,0.07,32.77,40
41.68,0.12,41.8,42
29.74,0.11,29.85,29.85
3.39,0.17,3.56,4
28.44,1.99,30.43,30.43
5,0,5,5
38.92,0,38.92,40
1.09,0.08,1.17,1.25
1.99,0.14,2.13,2.25
5,0,5,5
12.02,0,12.02,12.02
8,0,8,8
23,0,23,23
2.97,0.15,3.12,5
35,0,35,35
40.02,0,40.02,40.02
8.01,0,8.01,8.01
20.05,0,20.05,20.05
6,0,6,6
0.5,0,0.5,1
1.29,0.12,1.41,2
17.72,0,17.72,20
1.59,0.05,1.64,2
1.19,0.06,1.25,5
38.39,0.17,38.56,100
2.88,0.2,3.08,3.08
1.98,0.12,2.1,2.1
1.59,0.11,1.7,20
1,0,1,1
5.02,0,5.02,5.02
38.97,1.38,40.35,41
5,0,5,5
0.79,0.02,0.81,0.81
22,0,22,22
4.51,0,4.51,4.51
2.5,0,2.5,10
20.52,1.44,5,5
1.19,0.03,1.22,2
2.19,0.05,2.24,3
1.15,0.06,1.21,20.01
24.05,0,24.05,24.05
0.69,0.02,0.71,1.01
20.01,0,20.01,20.01
1.19,0.06,1.25,1.25
24.01,0,24.01,24.01
22.38,0,22.38,40
43,0,43,43
20,0,20,20
38,0,38,40
1.49,0.03,1.52,2
24.38,0.31,24.69,25
0.99,0.07,1.06,1.26
46.66,1.58,1.5,1.5
4.58,0.23,4.81,4.81
4.27,0.11,4.38,5
2.89,0.11,3,3
20.37,0,20.37,20.37
35.67,0,35.67,35.67
3.68,0.26,3.94,5
38.59,0,38.59,40
1.59,0.05,1.64,2
5.17,0.26,5.43,6
7.5,0.05,7.55,8
1.99,0.14,2.13,3
1.59,0.05,1.64,5
9.29,0.09,9.38,20
2,0,2,20
1.29,0.09,1.38,1.38
7,0,7,20
10.81,0.59,11.4,20
7.49,0.52,8.01,20.01
24.29,0,24.29,24.29
13,0,13,13
13.42,0,13.42,13.42
1.99,0.14,2.13,3
20,0,20,20
7.14,0,7.14,7.14
5.96,0.18,6.14,7
23.79,0,23.79,23.79
2.49,0.12,2.61,3
28.38,0.25,28.63,50
22.26,0.22,22.48,22.48
8,0,8,8
3.18,0.06,3.24,4
14.96,0.75,15.71,20
1.38,0.1,1.48,1.52
8.98,0.45,9.43,9.43
1.59,0.11,1.7,2
7.9,0.4,8.3,10.3
2.58,0.15,2.73,5
3.96,0.15,4.11,5
35,0,35,35
32.98,0,32.98,32.98
3.98,0.2,4.18,5
17.6,0,17.6,17.6
15,0,15,50
4.77,0.24,5.01,5.01
5,0,5,5
1.88,0.08,1.96,2
1.29,0.09,1.38,1.38
31.8,2.62,20,20
3.37,0,3.37,5
12.94,0.2,13.14,20.25
6,0,6,6
8,0,8,20
2.37,0,2.37,2.37
5.56,0.17,5.73,10
19.5,0,19.5,20
2,0,2,35
7,0,7,7
35.19,0,35.19,35.19
1.19,0.11,1.3,1.3
3,0,3,20
7.6,0.26,7.86,8
