pre_tax_amount,tax,post_tax_amount,amount_tendered
26.64,0,26.64,26.64
1.48,0.03,1.51,2
5.98,0.42,6.4,20.45
3.29,0.13,3.42,3.42
20,0,20,20
2,0,2,2
2.89,0.2,3.09,4
3.57,0.15,3.72,4
41,0,41,41
10.49,0.73,11.22,12
1.88,0.09,1.97,5
1.98,0.14,2.12,3
0.39,0.03,0.42,0.42
5,0,5,10
3.04,0.15,3.19,3.25
1.49,0.03,1.52,2
0.79,0.04,0.83,0.83
7.94,0.45,8.39,20.5
23.08,0,23.08,23.08
2.99,0.18,3.17,4
20,0,20,20
33.88,0,33.88,33.88
10.33,0.72,11.05,20
17.48,0.28,17.76,20
1.19,0.11,1.3,5
47,0,47,47
10,0,10,10
5,0,5,5
10,0,10,10
13.2,0,13.2,13.2
30,0,30,30
2.18,0.2,2.38,5
12.35,1.08,13.43,14
2,0,2,2
2.09,0.15,2.24,3
4.17,0.35,4.52,10
0.79,0.02,0.81,1
10,0,10,10
15,0,15,15
53.01,0,53.01,53.01
4.99,0.25,5.24,5.24
10,0,10,20
8,0,8,50
3.84,0.09,3.93,5
35,0,35,35
33.84,0,33.84,33.84
27.75,0,27.75,27.75
10,0,10,10
8.01,0,8.01,8.01
0.99,0.03,1.02,2
42.01,0,42.01,42.01
5,0,5,5
95,0,95,100
26.67,1.87,28.54,30
20,0,20,20
1.29,0.09,1.38,5
3.19,0.06,3.25,15
1.49,0.09,1.58,5
3.03,0.17,3.2,5
15,0,15,15
1.19,0.07,1.26,2
20,0,20,20
6.17,0,6.17,7
19.34,0,19.34,19.34
8.01,0,8.01,10.01
49.79,0,49.79,49.79
2,0,2,2
1.98,0.14,2.12,2.12
19.99,1.2,21.19,100
1.19,0.08,1.27,5
6.1,0,6.1,10.1
47.55,0,47.55,47.55
46,0,46,60
0.99,0.03,1.02,1.02
0.99,0.05,1.04,20.05
58.29,0.11,58.4,58.4
2.38,0.21,2.59,3
39.98,0,40,40
3.96,0.28,4.24,20.25
2.38,0.21,2.59,3
30,0,30,30
3.78,0.26,4.04,10
0.59,0.04,0.63,0.63
3,0,3,5
0.69,0.04,0.73,0.73
1.59,0.05,1.64,2
41.12,0,41.12,41.12
0.59,0.04,0.63,1
0.59,0.04,0.63,1
2.69,0.19,0.01,0.01
13,0.07,3.07,5
3.37,0.24,3.61,20
10,0,10,10
50,0,50,50
5.98,0,5.98,6
20,0,20,20
1.19,0.06,1.25,2
2.88,0.12,3,5
0.99,0.05,1.04,5.1
54.7,0,54.7,54.7
25.99,1.82,24.81,25
26.25,0,0.25,0.25
19,0,19,19
4.02,0,4.02,20.02
0.59,0.04,0.63,1
18.2,0.76,18.96,20
0.99,0.07,1.06,1.06
1.29,0.04,1.33,20
4.16,0.18,4.34,5
7.15,0.02,7.17,7.17
0.99,0.09,1.08,1.28
20,0,20,20
18.88,0,18.88,18.88
7.42,0,7.42,7.42
3.49,0.24,3.73,10
0.99,0.05,1.04,2
1.88,0.1,1.98,5
23.3,0,23.3,23.3
1.99,0.14,2.13,2.25
33.44,0,33.44,33.44
39.2,0,39.2,40
0.99,0.06,1.05,2
20,0,20,20
29,0,29,29
16.37,0,16.37,100
6.03,0.3,6.33,6.5
2,0,2,2
2.89,0.17,3.06,4
20,0,20,20
10.01,0,10.01,11
5,0,5,5
7,0,7,7
15.52,0.31,15.83,16
1.59,0.03,1.62,2
1,0,1,1
5.46,0.15,5.61,20
2.99,0.21,63.2,80.25
6.47,0.53,7,7
35.88,0,35.88,35.88
1.24,0.09,1.33,1.5
6.09,0.08,6.17,50
1.1,0,1.1,1.1
6,0,6,6
35,0,35,35
2,0,2,2
4,0,4,20
2.37,0.05,2.42,3
8.99,0.81,4.8,4.8
84.43,4.98,89.41,100
11,0,11,11
2,0,2,2
7.49,0.52,8.01,20.01
3.24,0.16,3.4,3.4
6.23,0.2,6.43,7
1.98,0.14,2.12,20
5,0,5,5
3.04,0.15,3.19,5
10.32,0.06,10.38,10.38
5,0.25,5.25,6
1.29,0.04,1.33,1.35
35.97,2.16,38.13,38.13
4.68,0.33,5.01,20
22.14,0.03,22.17,50
4.68,0.23,4.91,5
11.98,0.14,12.12,12.2
0.25,0.02,0.27,1
1.59,0.1,1.69,2
10,0,10,10
20,0,20,20
4.8,0.44,5.24,20
15.91,0,15.91,15.91
2.37,0.11,2.48,3
3.87,0.22,4.09,5
30.02,0,30.02,30.02
36.68,0,36.68,36.68
0.99,0.09,1.08,1.08
2.49,0.06,2.55,2.55
62.95,3.78,66.73,66.73
3.99,0,3.99,20
4.57,0.32,4.89,4.89
21.52,0.03,21.55,25
39.04,0.1,39.14,40
26.01,0,26.01,26.01
6,0,6,6
2.65,0.19,2.84,3
35.02,0,35.02,35.02
4.9,0.25,5.15,10.25
1.99,0.05,2.04,2.04
31.01,0,31.01,40.01
5,0,5,5
1.19,0.08,1.27,1.27
4.17,0.1,4.27,10.27
88.75,0.24,88.99,88.99
5,0,5,5
5.94,0.34,6.28,20
0.89,0,0.89,1
20,0,20,20
44,0,44,44
42,0,42,42
0.74,0.07,0.81,1
34,0,34,50
34.75,0,34.75,35
4,0,4,4
8.98,0.45,9.43,10
27.24,1.34,28.58,50
1.19,0.06,1.25,1.25
0.99,0.07,1.06,1.06
15.99,0.3,16.29,20
32.3,0,32.3,32.3
5.99,0.42,6.41,50
24.99,0.05,25.04,100
37.98,2.66,4,4
10,0,10,10
1.69,0.15,1.84,20
35.26,0.51,35.77,100
15.13,0.7,15.83,16
2.97,0.13,3.1,3.1
4.95,0.46,5.41,10
6,0,6,20
17.25,0.51,17.76,20
25.02,0,25.02,25.02
30,0,30,30
2.08,0.08,2.16,3
10.58,0.53,11.11,20
1.29,0.06,1.35,1.35
23.4,0,23.4,23.4
5,0,5,5
0.99,0.09,1.08,1.25
14.99,0.09,15.08,20
0.69,0.02,0.71,20
8,0,8,20
20,0,20,20
2.08,0.15,2.23,2.25
44.24,0,44.24,44.24
5.98,0.31,6.29,6.29
1.29,0.04,1.33,2
10,0,10,10
20.99,0.09,21.08,21.1
36.5,0,36.5,36.5
37,0,37,37
1.79,0.05,1.84,2
1.49,0.1,1.59,2
27.75,0,27.75,27.75
42,0,42,45
19.8,0,19.8,20.8
10.01,0,10.01,10.01
3.39,0.17,3.56,3.56
3.24,0.16,3.4,5
1.99,0.04,2.03,2.03
1.98,0.1,2.08,2.08
1.69,0.12,1.81,20
20.58,0.08,20.65,20.65
1.98,0.1,2.08,2.08
5,0.15,5.15,20.15
28.89,0.35,29.24,50
56.18,0,56.18,56.18
50,0,50,50
1.78,0.05,1.83,20.03
3.39,0.17,3.56,4
0.99,0.02,1.01,1.01
0.99,0.09,1.08,5
10,0,10,20
0.99,0.07,1.06,1.06
3.98,0.28,4.26,5
0.99,0.09,1.08,2
30.75,0,30.75,30.75
5.19,0.06,5.25,20.05
2.45,0.17,2.62,20
5.08,0.25,5.33,6
19,0,19,19
59.81,0,59.81,59.81
10.74,0.21,10.95,10.95
3.44,0.17,3.61,4
9.16,0.82,9.98,9.98
1.78,0,1.78,1.78
9,0,9,172.11
1,0.03,1.03,1.03
26.99,1.35,28.34,30
1.99,0.06,2.05,20.05
6,0,6,10
30,0,30,30
2.48,0.17,2.65,5
2.57,0.22,2.79,2.79
8,0,8,8
10,0.5,10.5,10.5
5,0.13,5.13,6
1.98,0.14,2.12,2.25
5,0,5,5
2.18,0.11,2.29,3
2.99,0,2.99,3
28.47,0.56,29.03,30
4.27,0.1,4.37,10
38.8,0.14,38.94,38.94
1.98,0.09,2.07,20
47.61,0.18,47.79,50
10.01,0,10.01,10.01
2.29,0.11,2.4,2.4
4,0,4,4
16.94,0.14,17.08,17.08
38.95,0,38.95,38.95
25,0,25,25
1.44,0.05,1.49,1.5
26,0,26,26
2.94,0.21,3.15,10.25
26.34,0,26.34,26.34
5,0,5,5
1.97,0.08,2.05,10.05
1.98,0.11,2.09,10
3.28,0.23,3.51,4
0.79,0.07,0.86,1
1.1,0.06,1.16,1.25
10,0,10,20
0.99,0.05,1.04,1.1
9,0,9,20
6,0,6,6
3.57,0.25,3.82,5
24.51,0,24.51,25.51
2.38,0.12,2.5,3
5.73,0.34,6.07,6.07
1.49,0.07,1.56,2
65.3,1.17,66.47,100
5.27,0.43,5.7,6
22.99,0.4,23.39,100
1.19,0.02,1.21,1.26
2.34,0.12,2.46,3
7.49,0.52,8.01,20
7.78,0.54,8.32,8.32
47.04,0,47.04,47.04
20,0,20,20
0.5,0.03,0.53,1
3.27,0.1,3.37,5
1.19,0.08,1.27,2
0.59,0.04,0.63,0.63
29.18,0,29.18,29.18
1.29,0.08,1.37,2
2.88,0.13,3.01,20
33,0,33,33
91.1,0.09,91.19,91.19
1.68,0.15,1.83,2
34.21,0,34.21,34.21
29.99,0,29.99,29.99
40,0,40,100
39,0,39,39
40,0,40,40
1.68,0.09,1.77,50
36.89,0,36.89,36.89
5.98,0.42,6.4,20
29,0,29,29
4.5,0.04,4.54,5
0.99,0.03,1.02,1.02
35.01,0,35.01,35.01
2.89,0.2,3.09,10
31.37,0,31.37,31.37
49.1,0,49.1,49.1
21.19,0.02,21.21,21.21
3.3,0,3.3,5.3
10,0,10,10
29.99,2.77,32.76,40
2.58,0.12,2.7,3
18.4,0,18.4,20
1.98,0.14,2.12,20.12
4.19,0,4.19,4.19
5.96,0.42,6.38,6.38
17.38,0.38,17.76,17.76
10,0,10,10
8,0,8,20
6.39,0.45,6.84,10
29.46,0,29.46,29.46
51.79,1.25,53.04,53.04
5.98,0.42,6.4,20
1.29,0.08,1.37,2
1.29,0.12,1.41,20
0.79,0.02,0.81,0.81
6.07,0.39,6.46,20.51
45.49,0,45.49,45.49
4.48,0.31,4.79,20
50,0,50,50
3,0,3,5
5,0,5,20
12,0,12,12
0.99,0.02,1.01,1.05
6.96,0.21,7.17,20
5.55,0.48,6.03,6.03
37,0,37,50
2.79,0.14,2.93,5
5,0,5,5
33.29,0.51,33.8,33.8
20,0,20,20
5,0,5,20
5,0,5,5
32,0,32,32
31.3,0,31.3,40
5,0,5,5
9.48,0.47,9.95,20
5.18,0.21,5.39,5.5
6.03,0,6.03,7
2.09,0.15,2.24,2.24
0.99,0.07,1.06,10
3.49,0.04,3.53,5
5,0,5,5
1.29,0.08,1.37,10
26.75,0.07,26.82,26.82
41.6,0.13,41.73,42
0.99,0.07,1.06,2
18.84,0.94,19.78,20
1.38,0.03,1.41,2
26.66,0.08,26.74,50.75
5.3,0.49,5.79,6
1.54,0.08,1.62,1.62
43.75,0,43.75,50
21.2,0,21.2,21.2
1.38,0.04,1.42,2
3.57,0.11,3.68,10
2.08,0.17,2.25,3
4.19,0.38,4.57,5
23.01,0,23.01,23.01
1.29,0.04,1.33,5
3.28,0.07,3.35,3.35
9.03,0,9.03,10
10,0,10,10
31.01,0,31.01,31.01
3.14,0.16,3.3,5.3
20.24,0.23,20.47,20.5
5,0,5,5
11.5,0,11.5,12
45.01,0,45.01,45.01
0.99,0.07,1.06,1.06
44,0,44,45
21.51,0,21.51,21.51
13.55,0.57,14.12,20.12
23.49,1.64,25.13,25.13
50,0,50,50
0.33,0.01,0.34,1
16.99,0.02,17.01,17.01
0.99,0.05,1.04,1.04
13.49,0.42,13.91,20
16.25,0,16.25,20
1.19,0.06,1.25,1.3
10,0,10,10
0.5,0.02,0.52,1
1.98,0.1,2.08,2.08
10,0,10,10
29.07,0,29.07,29.07
0.59,0.04,0.63,0.63
1.29,0.04,1.33,20.33
31.51,0,31.51,31.51
79,0,79,79
0.99,0.07,1.06,2
1.09,0.07,1.16,2
0.79,0.06,0.85,1
1.59,0.11,1.7,2
0.59,0.04,0.63,5
24.84,0,24.84,24.84
4.13,0.18,4.31,10
1.68,0.03,1.71,5
0.89,0.02,0.91,5
1.99,0.12,2.11,100
1.29,0.08,1.37,2
40,0,40,40
9.67,0.48,10.15,20
1.19,0.03,1.22,2
2.89,0.2,3.09,5
2.39,0.17,2.56,3
22.59,0.12,22.71,25
10,0,10,20
5,0.13,5.13,10
10.02,0,10.02,10.02
29.88,0,29.88,29.88
36.01,0,36.01,36.01
2.48,0.17,2.65,3
4.79,0.24,5.03,20.1
0.59,0.04,0.63,0.63
6.27,0.31,6.58,10.58
2.9,0.14,3.04,20.03
20,0,20,20
22.81,0.2,23.01,23.01
30.01,0,30.01,40.01
10.02,0,10.02,10.02
7.5,0,7.5,8
0.5,0.01,0.51,0.51
12.69,0.63,13.32,13.35
20.35,1.02,21.37,22
0.99,0.02,1.01,2
4.4,0.27,4.67,5
21.19,0.03,21.22,100
6.96,0.2,7.16,10
22.94,0,22.94,22.94
47.78,0,47.78,47.78
17.31,0,17.31,17.31
2.37,0.07,2.44,20
25,0,25,25
4.19,0.25,4.44,10
20.94,0,20.94,20.94
1.59,0.11,1.7,1.7
17.5,0,17.5,17.5
23.96,0,23.96,23.96
20.01,0,20.01,20.01
2.38,0.06,2.44,3
6.99,0.49,7.48,20
4.91,0.09,5,5
2.17,0.1,2.27,20
1.29,0.03,1.32,2
20.98,1.47,22.45,22.45
2.65,0.19,2.84,3
22.29,0,22.29,22.29
30.06,0,30.06,30.06
12.5,0,20,20
25,0,25,25
2.89,0.2,3.09,3.09
1.98,0.04,2.02,3
4.08,0.29,4.37,5
0.99,0.07,1.06,5
28.7,0,28.7,28.7
9.99,0,10,10
0.3,0.01,0.31,0.5
31.01,0,31.01,31.01
32.23,0,32.23,32.23
32,0,32,40
11.21,0.78,1.99,10
1.19,0.08,1.27,1.27
11.28,0.56,11.84,11.84
15,0,15,15
3.03,0,3.03,4
3,0,3,5
16.3,0,16.3,16.3
1.19,0.02,1.21,1.26
23.04,0.15,23.19,50
29.75,0,29.75,100.75
4.47,0.22,4.69,5
50.1,0.1,50.2,60
3.76,0.09,3.85,50
8.26,0,8.26,8.26
6.87,0.21,7.08,10
2.67,0.19,2.86,2.86
5,0.35,5.35,5.35
5.99,0.37,6.36,6.36
26.75,0,30,30
3.01,0,0.01,0.01
2.37,0.21,2.58,3
26.54,0,26.54,26.54
22.33,0,22.33,22.33
2.88,0.09,2.97,20
6.01,0,6.01,6.1
21,0,21,21
5,0,5,5
0.99,0.07,1.06,1.06
5,0,5,5
1.99,0.04,2.03,2.03
2.18,0.1,2.28,2.28
5.14,0,5.14,5.14
3.37,0.1,3.47,4
2.38,0.12,2.5,20
20.01,0,20.01,20.01
2.84,0.26,3.1,3.1
5.22,0.37,5.59,6
2.58,0.18,2.76,5
0.99,0.07,1.06,5
1.75,0,1.75,1.75
0.99,0.05,1.04,1.04
113.7,0,113.7,113.7
29.7,0,29.7,29.7
41.51,0,41.51,41.51
26.41,0,26.41,26.41
2.28,0.19,2.47,10
2.94,0.21,3.15,5
26.7,0,26.7,26.7
5.49,0.38,5.87,5.87
1.99,0,1.99,5
23.25,0,23.25,24
14.68,0.23,14.91,20
4.06,0.16,4.22,4.22
34.63,0,34.63,34.63
29,0,29,29
22.97,0,22.97,22.97
20,0,20,20
2.98,0.15,3.13,3.13
4.19,0.29,4.48,10
15.59,0.28,15.87,20
1.19,0.08,1.27,2
7.01,0,7.01,10.01
3.06,0.11,3.17,5
16.15,0.02,16.17,20
2,0,2,2
3.79,0.19,3.98,20
22.2,1.49,23.69,25.69
10,0,10,10
59.73,0,59.73,59.73
30,2.1,32.1,32.1
25.02,0,25.02,26
8.01,0,8.01,9
25,0,25,25
5,0,5,5
4.33,0.11,4.44,10
29.48,0,29.48,29.48
3.68,0.11,3.79,4
5.38,0.49,5.87,20
1.99,0.12,2.11,3
18.85,0,18.85,18.85
10,0,10,10
31.5,1.07,32.57,40
8,0,8,8
9.98,0.34,2,2
8.44,0,8.44,8.44
3.49,0.24,3.73,5
5.01,0,5.01,6
6.95,0,6.95,6.95
2.97,0.21,3.18,5.18
6.49,0.07,6.56,10
2.98,0.17,3.15,4
21,0,21,21
1.29,0.09,1.38,2
11.29,0.04,1.33,10
1.19,0.08,1.27,1.27
6.03,0.36,6.39,10.4
3.08,0.18,3.26,5
20.01,0,20.01,20.01
5,0.25,5.25,5.25
28,0,28,28
14.68,0.23,14.91,15
38,0,38,38
1.29,0.08,1.37,5
38.35,0,38.35,38.35
8.68,0,8.68,8.68
5.38,0.24,5.62,5.62
35.3,0,35.3,35.3
1.09,0.08,1.17,10
21.45,0,21.45,21.45
3,0,3,5
3.28,0.07,3.35,4
19.25,0.41,19.66,20
2.19,0.15,2.34,2.34
4.02,0,4.02,4.02
6.56,0.33,6.89,6.89
7,0,7,7
5.06,0,5.06,6
7,0,7,7
30.05,0,30.05,30.05
50.26,1.86,25.22,25.22
23.52,0,23.52,23.52
3.49,0.21,3.7,20
22,0,22,22
5,0.35,5.35,20.5
3.76,0.34,4.1,5
1.69,0.05,1.74,2
1.99,0.14,2.13,10
5,0.15,5.15,5.15
1.19,0.08,1.27,5
22.05,0,22.05,22.05
10,0,10,10
0.99,0.07,1.06,5.06
5,0,5,10
30.49,1.52,32.01,35
50,0,50,50
1.19,0.08,1.27,2
33.37,2.34,35.71,40.01
4.98,0.25,2,2
10,0,10,10
11.87,0,11.87,11.87
5.99,0.18,6.17,10
1.99,0.1,2.09,2.1
0.99,0.07,1.06,1.06
10.01,0,10.01,10.01
28.42,0,28.42,28.42
25,0,25,25
1.99,0.14,2.13,10
2.28,0.07,2.35,3
25,0,25,25
0.89,0.03,0.92,20
3,0.15,3.15,10
0.99,0.09,1.08,5.1
4.34,0.16,4.5,10
33.49,3.01,33.5,33.5
3,0,3,3
1.19,0.07,1.26,1.26
0.99,0.06,1.05,2
32.2,0,32.2,40
5.99,0.36,6,6
34.5,0,34.5,34.5
2.3,0.06,2.36,5
0.69,0.02,0.71,1
24.33,0,24.33,24.33
5.58,0.5,6.08,6.08
0.99,0.09,1.08,2
23.67,0,23.67,23.67
12.08,0.12,12.2,12.2
4.27,0.3,4.57,5
15.02,0.2,15.22,20
2,0,2,2
19.28,0,19.28,19.28
1.98,0.04,2.02,2.02
40,0,40,40
40,0,40,40
12.22,0.05,12.27,13
0.79,0.07,0.86,1
5,0,5,5
2.37,0.09,2.46,5
0.69,0.06,0.75,1
15.39,0.17,15.56,16
5,0,5,5
1.19,0.08,1.27,20
11.43,0.8,12.23,20.25
4.43,0.22,4.65,20
20.01,0,20.01,20.01
1,0,1,1
0.99,0.07,1.06,5
6.49,0,6.49,10
2.09,0.15,2.24,2.24
2,0,2,2
48,0,48,48
28.99,2.03,31.02,31.02
10,0,10,10
1.98,0.14,2.12,2.12
5,0,5,5
3.38,0,2.45,2.45
8.99,0.54,9.53,20
40,0,40,100
8.98,0.54,9.52,10
8.47,0.42,8.89,100
30.26,0,30.26,30.26
5,0,5,5
27.49,0.09,27.58,50
3.2,0.16,3.36,20
1.29,0.09,1.38,2
3.18,0.1,3.28,5
5,0,5,5
16.44,0.82,17.26,17.26
8.18,0.25,8.43,20
15.98,0.48,15.36,20
3.88,0.19,4.07,5.1
20,0,20,20
1.38,0.11,1.49,50
23.95,0,23.95,40
1.49,0.1,1.59,2
0.99,0.07,1.06,2
2.88,0.16,3.04,5
40,0,40,100
1.29,0.09,1.38,1.38
7.27,0.33,7.6,20
1.98,0.14,2.12,2.12
2.69,0.25,2.94,3
2.38,0.17,2.55,5.55
33.65,0.14,33.79,40
3.89,0.27,4.16,5
50,0,50,50
50,0,50,50
8.38,0.59,8.97,8.97
9.34,0.08,9.42,10
0.69,0.06,0.75,20.82
5.01,0,5.01,20.01
30.01,0,30.01,30.01
5.48,0.27,5.75,5.75
3.98,0.12,4.1,4.1
5.85,0.41,6.26,20
7.01,0,7.01,7.01
20.69,0,20.69,20.69
2.67,0.19,2.86,10
1.29,0.08,1.37,2
27.12,0,27.12,27.12
5.19,0.26,5.45,6
1.19,0,1.19,2
5.23,0.26,5.49,20
0.99,0.02,1.01,2
5,0.35,5.1,5.1
1.78,0.12,1.9,2
98.38,0,98.38,100
27.38,0,27.38,27.38
3.98,0.28,4.26,10.26
6.49,0.04,6.53,20
25.25,0,25.25,25.25
4.87,0.44,5.31,6
5,0,5,5
20.23,0,20.23,20.23
33.4,0,33.4,33.4
10.01,0,10.01,10.01
10,0,10,10
1.19,0.04,1.23,1.23
0.99,0.07,1.06,2
9.12,0.46,9.58,10
30.01,0,30.01,30.01
29,0,29,29
8.13,0.33,8.46,8.46
1.29,0.04,1.33,1.33
10.34,0.32,10.66,11
29,0,29,29
3,0,3,3
1.69,0.04,1.73,2
21.73,0.09,21.82,22.02
6.96,0.62,7.58,8
2.58,0.18,2.76,5.01
4.4,0.31,4.71,20
2.97,0.21,3.18,10.25
2.68,0.13,2.81,20
19.32,0.58,19.9,20
35,0,35,35
3.14,0.22,3.36,3.5
1.89,0.11,2,20
1.19,0.06,1.25,10
10.2,0.29,10.49,10.49
14.45,0.03,14.48,14.48
24.08,0.15,24.23,25
1.29,0.09,1.38,10
5,0.35,5.35,10
34,0,34,34
0.85,0.02,0.87,0.87
5.18,0.36,5.54,10
15,0,15,15
3.99,0.1,4.09,4.1
29.75,0,29.75,40
18,0,18,18
5.29,0.06,5.35,10
1,0,1,1
14.01,0,14.01,100
26.29,0.09,26.38,40
27,0,27,27
30.01,0.3,30.31,31
1.59,0.03,1.62,20
13.51,0.1,13.61,14
10,0,10,10
5.99,0.42,6.41,6.41
2.38,0.17,2.55,3
3.78,0.19,3.97,5
11.15,0,11.15,11.15
1,0,1,1
3.28,0.18,3.46,4
2.69,0.19,1,1
50,0,50,50
2.58,0.18,2.76,5
16.24,0,16.24,16.24
1,0.07,1.07,2
1,0.03,1.03,5
8,0,8,8
2.38,0.09,2.47,5
12,0.5,10.5,10.5
4.46,0.31,4.77,5
10.01,0,5.01,5.01
18.01,0,18.01,20.01
17.96,0.56,18.52,20
18.65,0,18.65,18.65
14,0.05,14.05,14.05
4.17,0.29,4.46,5
18.64,0,18.64,18.64
0.69,0.02,0.71,1
5,0,5,5
39.75,0,39.75,39.75
43.95,0,43.95,43.95
35.55,0,35.55,35.55
31.8,0.05,31.85,50
1.68,0.08,1.76,2
0.99,0.07,1.06,1.1
6,0,6,6
6.27,0.44,5,5
2.88,0.08,2.96,2.96
5,0,5,5
2.83,0.16,2.99,3
13.08,0.06,13.14,20
5,0.45,5.45,5.5
1.29,0.03,1.32,5
1.19,0.06,1.25,2
5.94,0.42,6.36,20.01
1.68,0.12,1.8,2
5.58,0.28,5.86,10
0.99,0.07,1.06,1.06
1.19,0.08,1.27,2
1.99,0.05,2.04,2.04
3.98,0.28,4.26,5
4.76,0.18,4.94,5
51,0,51,51
0.3,0.01,0.31,0.31
8.49,0.59,9.08,20
37.1,0,37.1,37.1
1.99,0.18,2.17,2.17
2.28,0.16,2.44,5
6.06,0.23,6.29,7
9.89,0,9.89,9.89
2.19,0.15,2.34,3
2.98,0.21,3.19,5
10,0,10,10
17.02,0.42,17.44,18
2.38,0.07,2.45,2.5
20,0,20,20
0.99,0.07,1.06,2
0.79,0.02,0.81,20
10.01,0,10.01,11
9,0,9,27
10.01,0,10.01,10.01
6.25,0.17,6.42,7
15,0,15,15
46.8,0,46.8,46.8
20.6,0,20.6,20.6
5.49,0.49,5.98,20
1.19,0.08,0.15,0.15
3.48,0.25,3.73,5
21.18,1.27,22.45,22.45
4.19,0.38,4.57,5
10,0,10,20
13.26,0,13.26,13.26
19.83,0,19.83,20
1.29,0.04,1.33,5
1.79,0.17,1.96,2
15,0,15,15
